,Log_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,year,Ladder_score,Country_name,RI_Central and Eastern Europe,RI_Commonwealth of Independent States,RI_East Asia,RI_Latin America and Caribbean,RI_Middle East and North Africa,RI_North America and ANZ,RI_South Asia,RI_Southeast Asia,RI_Sub-Saharan Africa,RI_Western Europe
174,10.699,0.97,70.46,0.838,0.336,0.498,2007,6.802,157,0,0,0,0,0,0,0,0,0,1
175,10.933,0.9387333333333333,68.22,0.872,0.197,0.633,2007,7.513,158,0,0,0,0,0,1,0,0,0,0
176,10.739,0.9387333333333333,71.66,0.93,0.249,0.406,2007,7.482,25,0,0,0,0,0,1,0,0,0,0
177,9.497,0.718,62.76,0.533,0.056,0.872,2007,5.336,65,0,0,0,0,1,0,0,0,0,0
178,8.028,0.717,46.56,0.644,-0.031,0.91,2007,4.35,24,0,0,0,0,0,0,0,0,1,0
179,7.839,0.514,59.44,0.605,0.04,0.806,2007,4.607,10,0,0,0,0,0,0,1,0,0,0
180,6.987,0.532,40.9,0.663,0.081,0.782,2007,4.16,26,0,0,0,0,0,0,0,0,1,0
181,10.153,0.931,65.0,0.538,-0.161,0.895,2007,4.954,61,1,0,0,0,0,0,0,0,0,0
182,9.715,0.832,65.1,0.566,-0.138,0.976,2007,3.844,20,1,0,0,0,0,0,0,0,0,0
183,10.543,0.808,70.9,0.575,-0.19,0.845,2007,6.647,54,0,0,0,0,0,0,0,0,0,1
184,9.508,0.889,64.48,0.87,0.391,0.898,2007,5.784,148,0,0,0,0,0,0,0,1,0,0
185,8.773,0.849,57.26,0.694,0.11,0.836,2007,5.993,57,0,0,0,1,0,0,0,0,0,0
186,9.604,0.875,67.58,0.786,-0.165,0.614,2007,5.694,159,0,0,0,1,0,0,0,0,0,0
187,8.5,0.819,64.78,0.676,0.23,0.826,2007,5.097,59,0,0,0,1,0,0,0,0,0,0
188,9.142,0.821,65.8,0.529,-0.009,0.875,2007,4.634,1,1,0,0,0,0,0,0,0,0,0
